ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
1759,ASSINANTE,F,01/01/2000 00:00:00,
691,ASSINANTE,F,01/01/2000 00:00:00,
2963,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
485,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2221,ASSINANTE,M,,
3390,ASSINANTE,M,25/07/2007 00:00:00,
524,ASSINANTE,F,01/01/2000 00:00:00,
2745,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
5,ASSINANTE,F,,DE 8SM ATE 14SM
992,ASSINANTE,M,01/01/2000 00:00:00,
1316,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1362,ASSINANTE,M,01/01/2000 00:00:00,
2791,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
796,ASSINANTE,M,01/01/2000 00:00:00,
1624,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2480,ASSINANTE,M,09/11/1983 00:00:00,DE 3SM ATE 4SM
3494,ASSINANTE,M,01/01/2000 00:00:00,ACIMA DE 25SM
3672,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
2070,ASSINANTE,M,01/01/2000 00:00:00,
428,ASSINANTE,M,01/01/2000 00:00:00,
3492,ASSINANTE,M,01/01/2000 00:00:00,
1062,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
1398,ASSINANTE,M,01/01/2000 00:00:00,
1989,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2503,ASSINANTE,F,18/06/1991 00:00:00,DE 8SM ATE 14SM
1686,ASSINANTE,M,,DE 4SM ATE 8SM
2303,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1706,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2829,ASSINANTE,M,09/10/1962 00:00:00,
2741,ASSINANTE,F,01/01/2000 00:00:00,
780,ASSINANTE,M,01/01/2000 00:00:00,
21,ASSINANTE,F,01/01/2000 00:00:00,
2870,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2704,ASSINANTE,M,,
3064,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2013,ASSINANTE,M,01/01/2000 00:00:00,
478,ASSINANTE,M,01/01/2000 00:00:00,
904,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1159,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2740,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3683,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3694,ASSINANTE,F,16/11/1972 00:00:00,
1645,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3588,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1771,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1747,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
98,ASSINANTE,M,01/01/2000 00:00:00,
644,ASSINANTE,F,,DE 8SM ATE 14SM
332,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3095,ASSINANTE,M,17/01/1953 00:00:00,
1882,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
306,ASSINANTE,M,01/01/2000 00:00:00,
511,ASSINANTE,M,01/01/2000 00:00:00,
3110,ASSINANTE,M,01/01/2000 00:00:00,
2568,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
211,ASSINANTE,M,01/01/2000 00:00:00,
227,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1434,ASSINANTE,M,01/01/2000 00:00:00,
3135,ASSINANTE,M,10/04/1983 00:00:00,DE 8SM ATE 14SM
1874,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1713,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3036,ASSINANTE,F,01/01/2000 00:00:00,
2635,ASSINANTE,M,01/01/2000 00:00:00,
1266,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
180,ASSINANTE,F,04/06/1990 00:00:00,
2121,ASSINANTE,M,01/01/2000 00:00:00,
2925,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1905,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3780,ASSINANTE,M,01/01/2000 00:00:00,
246,ASSINANTE,M,01/01/2000 00:00:00,
785,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1906,ASSINANTE,M,02/05/1967 00:00:00,DE 3SM ATE 4SM
3196,ASSINANTE,M,01/01/2000 00:00:00,
2274,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2944,ASSINANTE,M,01/01/2000 00:00:00,
2634,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2251,ASSINANTE,F,01/01/2000 00:00:00,
968,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3749,ASSINANTE,F,01/01/2000 00:00:00,
2239,ASSINANTE,F,01/01/2000 00:00:00,
2775,ASSINANTE,M,27/11/1992 00:00:00,
1545,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
2286,ASSINANTE,M,01/01/2000 00:00:00,
2090,ASSINANTE,M,01/01/2000 00:00:00,
1126,ASSINANTE,F,01/01/2000 00:00:00,
1361,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2973,ASSINANTE,F,01/01/2000 00:00:00,
851,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
895,ASSINANTE,F,13/08/1982 00:00:00,DE 4SM ATE 8SM
171,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
1250,ASSINANTE,M,19/10/1943 00:00:00,DE 14SM ATE 25SM
3621,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3753,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1217,ASSINANTE,M,01/01/2000 00:00:00,
3557,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3370,ASSINANTE,M,13/07/1967 00:00:00,DE 3SM ATE 4SM
2322,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1971,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1365,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1112,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
178,ASSINANTE,F,01/01/2000 00:00:00,
202,ASSINANTE,M,01/11/1987 00:00:00,
3124,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2935,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3447,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2593,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
2016,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1184,ASSINANTE,F,22/10/1987 00:00:00,DE 8SM ATE 14SM
540,ASSINANTE,M,01/01/2000 00:00:00,
449,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
