PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
False,4,37,27,False,74,True,34.39,3
False,0,5,4,True,0,False,35.25,4
False,0,3,2,True,0,False,39.65,3
False,0,1,1,False,0,False,35.55,5
False,12,54,119,True,431,True,53.18,4
False,0,60,323,False,348,True,31.64,3
False,0,1,1,False,0,False,51.2,3
False,0,7,3,False,0,False,41.47,2
False,4,4,5,False,0,False,41.91,3
False,0,26,32,False,0,False,32.34,3
False,0,60,395,True,574,True,31.84,3
False,3,10,7,False,0,False,50.72,3
False,0,33,169,False,132,False,30.31,3
False,0,18,94,True,59,True,65.75,3
False,0,3,1,True,0,False,50.81,3
False,0,13,16,True,0,False,64.14,3
False,0,2,2,True,0,False,28.0,3
False,0,1,0,True,1,True,67.24,3
False,0,1,1,True,0,False,51.02,6
False,0,9,4,True,18,False,34.14,3
False,0,7,0,False,10,False,21.95,3
False,0,3,1,False,1,False,32.84,3
False,0,1,0,True,4,True,53.72,3
False,0,6,1,False,1,False,57.53,4
False,0,44,37,True,119,True,70.35,3
False,0,2,0,True,8,True,53.74,3
False,0,31,52,False,0,False,39.79,4
False,10,10,9,False,1,False,30.09,3
False,0,2,1,False,0,False,35.68,4
False,5,1,0,False,5,True,42.88,4
False,0,2,1,False,1,False,44.59,2
False,0,2,2,True,0,False,40.9,3
False,9,13,2,False,28,True,57.17,4
False,14,8,10,True,0,False,45.97,3
False,0,17,24,False,0,False,34.55,4
False,0,1,1,False,0,False,31.94,3
False,68,46,8,False,99,False,63.91,4
False,45,17,10,False,0,False,42.98,3
False,18,20,20,False,8,False,37.38,5
False,0,4,4,True,0,False,57.5,3
False,8,21,34,True,0,False,40.16,3
False,0,19,9,True,24,False,42.16,3
False,0,8,1,False,9,False,42.54,4
False,3,2,0,False,4,True,39.78,3
False,3,2,1,False,0,False,54.38,3
False,0,27,21,True,0,False,56.66,3
False,0,1,3,True,0,False,47.51,5
False,0,5,4,True,0,False,29.67,1
False,2,14,4,False,2,False,36.03,4
False,1,18,13,False,32,True,48.16,3
False,0,60,1077,False,594,True,47.25,5
False,12,8,11,True,0,False,57.56,6
